FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,GeoLocation,Emission_ID
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c9e,353050,"Negra, Sierra",2524,19791113,19791113,POINT (-91.17 -0.83),314
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c9d,353050,"Negra, Sierra",1928,20051023,20051023,POINT (-91.17 -0.83),315
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c9c,353060,"Azul, Cerro",358,19790201,19790201,POINT (-91.408 -0.92),316
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c9b,353060,"Azul, Cerro",714,19980915,19980915,POINT (-91.408 -0.92),317
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c9a,353060,"Azul, Cerro",157,20080530,20080530,POINT (-91.408 -0.92),318
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c99,353080,Marchena,200,19910926,19910926,POINT (-90.47 0.33),319
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c98,355100,Lascar,450,19930419,19930419,POINT (-67.73 -23.37),320
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c97,355100,Lascar,3,20050504,20050504,POINT (-67.73 -23.37),321
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c96,355100,Lascar,2,20060418,20060418,POINT (-67.73 -23.37),322
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c95,357040,Planchon-Peteroa,1,20110502,20110502,POINT (-70.568 -35.223),323
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c94,357090,Copahue,500,20121222,20121222,POINT (-71.183 -37.856),324
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c93,357100,Lonquimay,10,19890112,19890112,POINT (-71.586 -38.379),325
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c92,357110,Llaima,30,20080101,20080101,POINT (-71.729 -38.692),326
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c91,357110,Llaima,10,20090403,20090403,POINT (-71.729 -38.692),327
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c90,357120,Villarrica,5,20150303,20150303,POINT (-71.93 -39.42),328
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c8f,357150,Puyehue-Cordon Caulle,200,20110604,20110604,POINT (-72.117 -40.59),329
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c8e,358020,Calbuco,400,20150422,20150422,POINT (-72.618 -41.33),330
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c8d,358041,Chaiten,14,20080502,20080508,POINT (-72.646 -42.833),331
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c8c,358057,"Hudson, Cerro",4000,19910809,19910815,POINT (-72.97 -45.9),332
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c8b,358057,"Hudson, Cerro",1,20111026,20111026,POINT (-72.97 -45.9),333
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c8a,360050,Soufriere Hills,31,19971226,19971226,POINT (-62.18 16.72),334
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c89,360050,Soufriere Hills,2,19980703,19980703,POINT (-62.18 16.72),335
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c88,360050,Soufriere Hills,9,19981112,19981112,POINT (-62.18 16.72),336
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c87,360050,Soufriere Hills,16,19990720,19990720,POINT (-62.18 16.72),337
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c86,360050,Soufriere Hills,3.4,20000320,20000320,POINT (-62.18 16.72),338
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c85,360050,Soufriere Hills,33,20010730,20010730,POINT (-62.18 16.72),339
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c84,360050,Soufriere Hills,100,20030713,20030713,POINT (-62.18 16.72),340
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c83,360050,Soufriere Hills,5,20040303,20040303,POINT (-62.18 16.72),341
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c82,360050,Soufriere Hills,8,20050628,20050718,POINT (-62.18 16.72),342
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c81,360050,Soufriere Hills,200,20060520,20060520,POINT (-62.18 16.72),343
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c80,360050,Soufriere Hills,1,20070108,20070108,POINT (-62.18 16.72),344
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c7f,360050,Soufriere Hills,3,20080729,20080729,POINT (-62.18 16.72),345
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c7e,360050,Soufriere Hills,5,20081203,20081203,POINT (-62.18 16.72),346
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c7d,360050,Soufriere Hills,8,20090103,20090103,POINT (-62.18 16.72),347
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c7c,360050,Soufriere Hills,30,20100212,20100212,POINT (-62.18 16.72),348
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c7b,360150,Soufriere St. Vincent,3,19790413,19790413,POINT (-61.18 13.33),349
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c7a,372020,Eyjafjallajokull,466,20100414,20100414,POINT (-19.633 63.633),350
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c79,372070,Hekla,460,19800818,19800818,POINT (-19.666 63.983),351
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c78,372070,Hekla,10,19810409,19810409,POINT (-19.666 63.983),352
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c77,372070,Hekla,230,19910120,19910120,POINT (-19.666 63.983),353
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c76,372070,Hekla,183,20000226,20000226,POINT (-19.666 63.983),354
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c75,373010,Grimsvotn,10,19830529,19830529,POINT (-17.316 64.416),355
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c74,373010,Grimsvotn,10,19961002,19961002,POINT (-17.316 64.416),356
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c73,373010,Grimsvotn,30,20041102,20041102,POINT (-17.316 64.416),357
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c72,373010,Grimsvotn,300,20110521,20110521,POINT (-17.316 64.416),358
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c71,373030,Bardarbunga,11800,20140831,20140831,POINT (-17.516 64.633),359
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c70,373080,Krafla,250,19800711,19800711,POINT (-16.728 65.715),360
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c6f,373080,Krafla,60,19801019,19801019,POINT (-16.728 65.715),361
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c6e,373080,Krafla,375,19840905,19840905,POINT (-16.728 65.715),362
E3WebApp_Emissions.fid--4d9842f7_16247cd462d_-6c6d,384010,Fogo,382,20141123,20141123,POINT (-24.35 14.95),363
